+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+-------------------------+-------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro | patched-geoghegan | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+-------------------------+-------------------+-----+-------------------------------------+----------+----------+
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 251518     | 7834.57                 | 18601.55          | 6   | 10194,10314,10434,10193,10313,10433 | 10766.98 | 137.43   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 251518     | 8148.26                 | 18618.71          | 6   | 8394,8514,8634,8393,8513,8633       | 10470.45 | 128.5    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 2012144    | 10931.9                 | 19848.36          | 6   | 4989,5124,5259,4988,5123,5258       | 8916.46  | 81.56    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 189018     | 6905.39                 | 15180.41          | 6   | 7664,7784,7904,7663,7783,7903       | 8275.02  | 119.83   |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | desc       | 282768     | 14715.36                | 22959.96          | 6   | 6959,7079,7199,6958,7078,7198       | 8244.6   | 56.03    |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 189018     | 5850.21                 | 13937.96          | 6   | 9104,9224,9344,9103,9223,9343       | 8087.75  | 138.25   |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 282768     | 14413.56                | 22498.89          | 6   | 7679,7799,7919,7678,7798,7918       | 8085.33  | 56.1     |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 189018     | 5872.95                 | 13951.97          | 6   | 10184,10304,10424,10183,10303,10423 | 8079.02  | 137.56   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 282768     | 12863.7                 | 20893.19          | 6   | 9119,9239,9359,9118,9238,9358       | 8029.49  | 62.42    |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 189018     | 6142.48                 | 14138.77          | 6   | 8384,8504,8624,8383,8503,8623       | 7996.29  | 130.18   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 282768     | 13020.59                | 21001.34          | 6   | 9479,9599,9719,9478,9598,9718       | 7980.75  | 61.29    |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 251518     | 11370.56                | 18591.55          | 6   | 9114,9234,9354,9113,9233,9353       | 7220.99  | 63.51    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | desc       | 251518     | 13028.52                | 20231.19          | 6   | 6954,7074,7194,6953,7073,7193       | 7202.67  | 55.28    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 2012144    | 9165.52                 | 16048.75          | 6   | 3369,3504,3639,3368,3503,3638       | 6883.23  | 75.1     |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 157768     | 4917.29                 | 11753.0           | 6   | 10179,10299,10419,10178,10298,10418 | 6835.71  | 139.01   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 157768     | 4883.21                 | 11692.81          | 6   | 9099,9219,9339,9098,9218,9338       | 6809.6   | 139.45   |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1012144    | 4971.32                 | 11654.79          | 6   | 4159,4294,4429,4158,4293,4428       | 6683.47  | 134.44   |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | desc       | 220268     | 11450.76                | 17605.32          | 6   | 6949,7069,7189,6948,7068,7188       | 6154.56  | 53.75    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 1762144    | 8053.5                  | 14191.2           | 6   | 3364,3499,3634,3363,3498,3633       | 6137.7   | 76.21    |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 220268     | 7135.8                  | 13181.52          | 6   | 8389,8509,8629,8388,8508,8628       | 6045.72  | 84.72    |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 126518     | 3942.39                 | 9406.71           | 6   | 10174,10294,10414,10173,10293,10413 | 5464.32  | 138.6    |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 189018     | 8807.02                 | 14062.64          | 6   | 9464,9584,9704,9463,9583,9703       | 5255.62  | 59.68    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1512144    | 7474.02                 | 12396.88          | 6   | 4169,4304,4439,4168,4303,4438       | 4922.86  | 65.87    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1012144    | 5531.82                 | 10027.22          | 6   | 514,649,784,513,648,783             | 4495.4   | 81.26    |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 157768     | 7330.89                 | 11752.56          | 6   | 9459,9579,9699,9458,9578,9698       | 4421.67  | 60.32    |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 282768     | 16923.71                | 21065.79          | 6   | 10199,10319,10439,10198,10318,10438 | 4142.08  | 24.48    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1262144    | 6217.73                 | 10355.4           | 6   | 4164,4299,4434,4163,4298,4433       | 4137.67  | 66.55    |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 95268      | 2974.66                 | 7073.37           | 6   | 10169,10289,10409,10168,10288,10408 | 4098.71  | 137.79   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 95268      | 3096.48                 | 7026.81           | 6   | 9449,9569,9689,9448,9568,9688       | 3930.33  | 126.93   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 282768     | 17133.56                | 20939.58          | 6   | 8399,8519,8639,8398,8518,8638       | 3806.02  | 22.21    |
