+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 |  master  | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------+-----+-------------------------------------+----------+----------+
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 12452.8                      | 42309.3  | 6   | 35360,35549,35738,35358,35547,35736 | 29856.5  | 239.76   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2262144    | 13306.38                     | 42461.39 | 6   | 36494,36683,36872,36492,36681,36870 | 29155.01 | 219.11   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2262144    | 14135.78                     | 42925.84 | 6   | 42731,42920,43109,42729,42918,43107 | 28790.06 | 203.67   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 2012144    | 11071.84                     | 37673.19 | 6   | 41590,41779,41968,41588,41777,41966 | 26601.35 | 240.26   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 10968.65                     | 37514.27 | 6   | 35353,35542,35731,35351,35540,35729 | 26545.62 | 242.01   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2012144    | 11917.13                     | 38138.41 | 6   | 42724,42913,43102,42722,42911,43100 | 26221.28 | 220.03   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2012144    | 11856.46                     | 37840.06 | 6   | 36487,36676,36865,36485,36674,36863 | 25983.6  | 219.15   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 1762144    | 9755.02                      | 33379.48 | 6   | 41583,41772,41961,41581,41770,41959 | 23624.46 | 242.18   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 9662.22                      | 33004.57 | 6   | 35346,35535,35724,35344,35533,35722 | 23342.35 | 241.58   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 2262144    | 10486.33                     | 33634.66 | 6   | 37628,37817,38006,37626,37815,38004 | 23148.33 | 220.75   |
