+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+------------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+------------------------------------+-----+-------------------------------------+----------+
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 4          | 1.28                         | 2.45                               | 6   | 11042,11217,11392,11043,11218,11393 | 91.41    |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 4          | 1.48                         | 2.42                               | 6   | 19841,20009,20177,19842,20010,20178 | 63.51    |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 1          | 1.12                         | 1.81                               | 6   | 21843,22011,22179,21844,22012,22180 | 61.61    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 2          | 1.12                         | 1.78                               | 6   | 4735,4910,5085,4736,4911,5086       | 58.93    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 4          | 1.2                          | 1.87                               | 6   | 7892,8067,8242,7893,8068,8243       | 55.83    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 2          | 1.21                         | 1.85                               | 6   | 16285,16460,16635,16286,16461,16636 | 52.89    |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 1          | 1.21                         | 1.84                               | 6   | 18819,18987,19155,18820,18988,19156 | 52.07    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 4          | 1.09                         | 1.62                               | 6   | 4217,4392,4567,4218,4393,4568       | 48.62    |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 2          | 1.35                         | 1.95                               | 6   | 18826,18994,19162,18827,18995,19163 | 44.44    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 2          | 1.16                         | 1.65                               | 6   | 8935,9110,9285,8936,9111,9286       | 42.24    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 16         | 1.54                         | 2.15                               | 6   | 14206,14381,14556,14207,14382,14557 | 39.61    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 1          | 1.14                         | 1.59                               | 6   | 7353,7528,7703,7354,7529,7704       | 39.47    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 8          | 1.52                         | 2.03                               | 6   | 14199,14374,14549,14200,14375,14550 | 33.55    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 8          | 1.36                         | 1.81                               | 6   | 15249,15424,15599,15250,15425,15600 | 33.09    |
