+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched  | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------+-----+-------------------------------------+----------+
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 189018     | 2405.53  | 4721.12  | 6   | 6581,6701,6821,6582,6702,6822       | 96.26    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 282768     | 3615.35  | 6991.87  | 6   | 6596,6716,6836,6597,6717,6837       | 93.39    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 95268      | 1245.61  | 2374.41  | 6   | 6566,6686,6806,6567,6687,6807       | 90.62    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 220268     | 2871.58  | 5442.9   | 6   | 6586,6706,6826,6587,6707,6827       | 89.54    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 64018      | 843.28   | 1589.93  | 6   | 6561,6681,6801,6562,6682,6802       | 88.54    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 434.17   | 816.39   | 6   | 6556,6676,6796,6557,6677,6797       | 88.03    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 126518     | 1679.33  | 3154.52  | 6   | 6571,6691,6811,6572,6692,6812       | 87.84    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 16384      | 221.32   | 415.35   | 6   | 6551,6671,6791,6552,6672,6792       | 87.67    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 157768     | 2058.5   | 3851.06  | 6   | 6576,6696,6816,6577,6697,6817       | 87.08    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 251518     | 3303.6   | 6166.43  | 6   | 6591,6711,6831,6592,6712,6832       | 86.66    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 59.91    | 107.44   | 6   | 6541,6661,6781,6542,6662,6782       | 79.34    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 31.64    | 55.63    | 6   | 6536,6656,6776,6537,6657,6777       | 75.82    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 1024       | 18.35    | 29.46    | 6   | 6531,6651,6771,6532,6652,6772       | 60.54    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 512        | 10.36    | 15.94    | 6   | 6526,6646,6766,6527,6647,6767       | 53.86    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 115.54   | 176.66   | 6   | 6546,6666,6786,6547,6667,6787       | 52.9     |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 32768      | 711.21   | 1055.6   | 6   | 7996,8116,8236,7997,8117,8237       | 48.42    |
