+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-728899ba | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------+-----+-------------------------------------+----------+----------+
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 503036     | 4250.55                          | 10123.98         | 6   | 12767,12942,13117,12763,12938,13113 | 5873.43  | 138.18   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 565536     | 4840.83                          | 9984.55          | 6   | 11199,11374,11549,11195,11370,11545 | 5143.72  | 106.26   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 378036     | 2911.07                          | 7470.65          | 6   | 13803,13978,14153,13799,13974,14149 | 4559.58  | 156.63   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 503036     | 4302.65                          | 8718.55          | 6   | 11192,11367,11542,11188,11363,11538 | 4415.9   | 102.63   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 6632.38                          | 11032.44         | 6   | 13824,13999,14174,13820,13995,14170 | 4400.06  | 66.34    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 6889.62                          | 11216.39         | 6   | 12774,12949,13124,12770,12945,13120 | 4326.77  | 62.8     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 503036     | 5898.05                          | 9831.58          | 6   | 13817,13992,14167,13813,13988,14163 | 3933.53  | 66.69    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 315536     | 2412.66                          | 6147.26          | 6   | 13796,13971,14146,13792,13967,14142 | 3734.6   | 154.79   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 440536     | 3753.14                          | 7411.24          | 6   | 11185,11360,11535,11181,11356,11531 | 3658.1   | 97.47    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 440536     | 3579.15                          | 7210.71          | 6   | 12235,12410,12585,12231,12406,12581 | 3631.56  | 101.46   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 565536     | 6685.52                          | 9800.41          | 6   | 12249,12424,12599,12245,12420,12595 | 3114.89  | 46.59    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 253036     | 1902.56                          | 4967.24          | 6   | 13789,13964,14139,13785,13960,14135 | 3064.68  | 161.08   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 253036     | 2121.35                          | 5041.85          | 6   | 12739,12914,13089,12735,12910,13085 | 2920.5   | 137.67   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 315536     | 2701.59                          | 5046.86          | 6   | 11171,11346,11521,11167,11342,11517 | 2345.27  | 86.81    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 440536     | 4352.21                          | 6648.06          | 6   | 14860,15035,15210,14856,15031,15206 | 2295.85  | 52.75    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 440536     | 4345.72                          | 6594.85          | 6   | 15910,16085,16260,15906,16081,16256 | 2249.13  | 51.76    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 8048576    | 2983.92                          | 5225.13          | 6   | 32976,33179,33382,32972,33175,33378 | 2241.21  | 75.11    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 7048576    | 8138.83                          | 10186.2          | 6   | 29924,30127,30330,29920,30123,30326 | 2047.37  | 25.16    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 10708.51                         | 12742.72         | 6   | 53500,53689,53878,53496,53685,53874 | 2034.21  | 19.0     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 190536     | 1877.76                          | 3793.99          | 6   | 14832,15007,15182,14828,15003,15178 | 1916.23  | 102.05   |
