+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+----------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 |  master  | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+----------+-----+-------------------------------------+----------+----------+
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 2262144    | 12390.58                         | 42525.0  | 6   | 41600,41789,41978,41595,41784,41973 | 30134.42 | 243.2    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 12334.04                         | 42309.3  | 6   | 35363,35552,35741,35358,35547,35736 | 29975.26 | 243.03   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2262144    | 13283.07                         | 42925.84 | 6   | 42734,42923,43112,42729,42918,43107 | 29642.77 | 223.16   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2262144    | 13191.49                         | 42461.39 | 6   | 36497,36686,36875,36492,36681,36870 | 29269.9  | 221.88   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 2012144    | 10995.26                         | 37673.19 | 6   | 41593,41782,41971,41588,41777,41966 | 26677.93 | 242.63   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 10929.41                         | 37514.27 | 6   | 35356,35545,35734,35351,35540,35729 | 26584.86 | 243.24   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2012144    | 11817.35                         | 38138.41 | 6   | 42727,42916,43105,42722,42911,43100 | 26321.06 | 222.73   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2012144    | 11752.16                         | 37840.06 | 6   | 36490,36679,36868,36485,36674,36863 | 26087.9  | 221.98   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 1762144    | 9638.39                          | 33379.48 | 6   | 41586,41775,41964,41581,41770,41959 | 23741.09 | 246.32   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 9565.98                          | 33004.57 | 6   | 35349,35538,35727,35344,35533,35722 | 23438.59 | 245.02   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 2262144    | 10431.77                         | 33634.66 | 6   | 37631,37820,38009,37626,37815,38004 | 23202.89 | 222.43   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 2262144    | 10331.32                         | 33289.55 | 6   | 39332,39521,39710,39327,39516,39705 | 22958.23 | 222.22   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1762144    | 10378.66                         | 33294.38 | 6   | 42720,42909,43098,42715,42904,43093 | 22915.72 | 220.8    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1762144    | 10286.54                         | 32927.29 | 6   | 36483,36672,36861,36478,36667,36856 | 22640.75 | 220.1    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 2262144    | 11098.0                          | 33620.78 | 6   | 40466,40655,40844,40461,40650,40839 | 22522.78 | 202.94   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 2262144    | 11235.02                         | 33707.2  | 6   | 38765,38954,39143,38760,38949,39138 | 22472.18 | 200.02   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 2012144    | 9283.51                          | 30165.6  | 6   | 37624,37813,38002,37619,37808,37997 | 20882.09 | 224.94   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 2012144    | 9177.83                          | 29729.66 | 6   | 39325,39514,39703,39320,39509,39698 | 20551.83 | 223.93   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 1512144    | 8273.47                          | 28443.38 | 6   | 41579,41768,41957,41574,41763,41952 | 20169.91 | 243.79   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1512144    | 8244.3                           | 28301.46 | 6   | 35342,35531,35720,35337,35526,35715 | 20057.16 | 243.29   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1512144    | 8902.65                          | 28908.99 | 6   | 42713,42902,43091,42708,42897,43086 | 20006.34 | 224.72   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 2012144    | 9863.52                          | 29841.46 | 6   | 40459,40648,40837,40454,40643,40832 | 19977.94 | 202.54   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 2012144    | 9986.57                          | 29864.01 | 6   | 38758,38947,39136,38753,38942,39131 | 19877.44 | 199.04   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1512144    | 8789.24                          | 28232.03 | 6   | 36476,36665,36854,36471,36660,36849 | 19442.79 | 221.21   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1762144    | 8134.54                          | 26099.45 | 6   | 37617,37806,37995,37612,37801,37990 | 17964.91 | 220.85   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 1762144    | 8084.84                          | 25953.63 | 6   | 39318,39507,39696,39313,39502,39691 | 17868.79 | 221.02   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 1762144    | 8728.14                          | 26421.02 | 6   | 38751,38940,39129,38746,38935,39124 | 17692.88 | 202.71   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1762144    | 8613.62                          | 25899.25 | 6   | 40452,40641,40830,40447,40636,40825 | 17285.63 | 200.68   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 1262144    | 6920.59                          | 23710.47 | 6   | 41572,41761,41950,41567,41756,41945 | 16789.88 | 242.61   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1262144    | 6837.55                          | 23508.44 | 6   | 35335,35524,35713,35330,35519,35708 | 16670.89 | 243.81   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1262144    | 7417.45                          | 23935.55 | 6   | 42706,42895,43084,42701,42890,43079 | 16518.1  | 222.69   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1262144    | 7358.92                          | 23575.42 | 6   | 36469,36658,36847,36464,36653,36842 | 16216.5  | 220.37   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1512144    | 6945.12                          | 22363.46 | 6   | 37610,37799,37988,37605,37794,37983 | 15418.34 | 222.0    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 1512144    | 6905.53                          | 22293.88 | 6   | 39311,39500,39689,39306,39495,39684 | 15388.35 | 222.84   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 1512144    | 7510.85                          | 22492.53 | 6   | 38744,38933,39122,38739,38928,39117 | 14981.68 | 199.47   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1512144    | 7408.15                          | 22268.29 | 6   | 40445,40634,40823,40440,40629,40818 | 14860.14 | 200.59   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1012144    | 5955.47                          | 19589.29 | 6   | 42699,42888,43077,42694,42883,43072 | 13633.82 | 228.93   |
