did qid seed fillfactor ROWS distinct relpages fuzz fuzz2 step iomethod ioworkers eic direction run iorder order b values start end time_uncached time_cached distance_uncached distance_cached buffers_read buffers_hit
1 1 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 1 23775 23775 0.386 0.020 -1 -1 5 3
1 2 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 1 1689 1689 0.223 0.026 -1 -1 2 5
1 3 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 1 6954 6954 0.227 0.019 -1 -1 2 5
1 4 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 1 12243 12243 0.294 0.029 -1 -1 4 3
1 5 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 1 24060 24060 0.251 0.021 -1 -1 4 3
1 6 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 2 26707 26708 0.384 0.036 -1 -1 6 3
1 7 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 2 19379 19380 0.308 0.029 -1 -1 5 3
1 8 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 2 17971 17972 0.375 0.023 -1 -1 6 3
1 9 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 2 32073 32074 0.353 0.033 -1 -1 5 3
1 10 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 2 11547 11548 0.379 0.034 -1 -1 6 3
1 11 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 4 11328 11331 0.452 0.023 -1 -1 8 3
1 12 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 4 16424 16427 0.578 0.027 2.667 -1 9 3
1 13 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 4 23258 23261 0.467 0.024 -1 -1 8 3
1 14 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 4 26992 26995 0.556 0.041 3.000 -1 10 3
1 15 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 4 1685 1688 0.504 0.020 -1 -1 7 5
1 16 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 8 9697 9704 0.816 0.035 -1 -1 13 5
1 17 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 8 22894 22901 0.572 0.041 -1 -1 11 3
1 18 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 8 5863 5870 0.819 0.039 -1 -1 13 5
1 19 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 8 16299 16306 0.851 0.030 -1 -1 15 3
1 20 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 8 29545 29552 0.717 0.030 -1 -1 13 3
1 21 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 16 2189 2204 1.392 0.038 -1 -1 24 5
1 22 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 16 22962 22977 0.952 0.059 5.600 -1 21 3
1 23 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 16 24884 24899 1.080 0.077 9.412 -1 28 3
1 24 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 16 19351 19366 0.750 0.075 145.600 -1 27 3
1 25 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 16 26245 26260 1.293 0.044 -1 -1 24 3
1 26 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 32 9907 9938 2.116 0.054 -1 -1 40 5
1 27 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 32 26075 26106 0.981 0.095 85.778 -1 46 3
1 28 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 32 1182 1213 1.491 0.068 40.914 -1 47 5
1 29 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 32 5870 5901 2.363 0.062 -1 -1 44 5
1 30 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 32 14506 14537 2.047 0.060 -1 -1 41 3
1 31 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 64 3423 3486 4.832 0.101 -1 -1 92 5
1 32 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 64 11541 11604 3.153 0.176 103.733 -1 85 3
1 33 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 64 28941 29004 2.224 0.183 180.100 -1 86 3
1 34 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 64 13061 13124 2.151 0.182 242.378 -1 86 3
1 35 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 64 15722 15785 1.917 0.180 243.297 -1 89 3
1 36 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 128 31531 31658 8.788 0.192 -1 -1 174 4
1 37 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 128 20831 20958 3.338 0.181 232.560 -1 173 3
1 38 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 128 19338 19465 2.480 0.333 237.152 -1 186 3
1 39 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 128 7287 7414 3.172 0.189 261.035 -1 171 5
1 40 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 128 14477 14604 2.701 0.192 260.755 -1 166 3
1 41 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 256 32112 32367 17.235 0.595 -1 -1 347 4
1 42 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 256 18031 18286 4.616 0.545 253.477 -1 359 5
1 43 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 256 17470 17725 2.893 0.348 258.357 -1 351 4
1 44 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 256 12711 12966 2.448 0.354 267.035 -1 354 3
1 45 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 256 4218 4473 4.964 0.521 266.578 -1 359 8
1 46 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 512 24102 24613 34.847 0.662 -1 -1 694 8
1 47 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 512 27585 28096 3.697 0.619 265.819 -1 672 6
1 48 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 512 9300 9811 5.478 0.914 265.181 -1 695 12
1 49 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 512 8671 9182 5.511 0.612 269.623 -1 699 10
1 50 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 512 30617 31128 5.932 1.145 269.920 -1 707 7
1 51 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 1024 9702 10725 65.095 1.783 -1 -1 1353 28
1 52 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 1024 12683 13706 8.076 1.382 268.362 -1 1393 22
1 53 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 1024 23695 24718 6.205 1.334 268.859 -1 1382 21
1 54 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 1024 15522 16545 7.554 1.178 270.707 -1 1382 25
1 55 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 1024 7207 8230 6.891 1.113 270.819 -1 1351 29
1 56 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 2048 6870 8917 124.443 3.419 -1 -1 2673 94
1 57 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 2048 26956 29003 13.207 3.469 270.142 -1 2708 68
1 58 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 2048 22583 24630 11.400 2.028 270.165 -1 2698 77
1 59 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 2048 5388 7435 11.995 3.079 271.532 -1 2676 112
1 60 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 2048 19057 21104 12.218 2.630 271.497 -1 2702 72
1 61 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 4096 30904 34999 242.689 4.803 -1 -1 5312 252
1 62 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched 4096 10315 14410 21.269 4.323 271.090 -1 5266 315
1 63 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old 4096 14297 18392 21.355 4.211 271.201 -1 5317 305
1 64 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-old-munro 4096 5882 9977 20.821 4.555 271.742 -1 5193 357
1 65 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc patched-munro 4096 6874 10969 22.110 4.400 271.704 -1 5208 336
1 66 0.13833992318747002 20 10000000 1250000 476191 262144 2 8 worker 12 16 increase 1 asc asc master 8192 7715 15906 395.560 10.419 -1 -1 9953 1223
